model,mode,status,num_images,precision,recall,f1,accuracy,precision_macro,recall_macro,f1_macro,time_total_s,time_per_image_ms,images_per_second,tp,fp,tn,fn,support_0,support_1,prediction_map,error
resnet18,cnn,ok,1532,0.9875,0.9570484581497798,0.9720357941834452,0.9673629242819843,0.9638420245398773,0.9697101265107873,0.9664254206026943,10.460613900213502,6.828076958363905,146.45411967348605,869,11,613,39,624,908,0->1;1->0,
resnet18,svm,ok,1532,0.992,0.9559471365638766,0.9736399326977005,0.9693211488250653,0.965558599695586,0.9723645939229639,0.9684749234136434,12.96645210008137,8.463741579687579,118.1510553677506,868,7,617,40,624,908,0->1;1->0,
resnet50,cnn,ok,1532,0.9273127753303965,0.9273127753303965,0.9273127753303965,0.9138381201044387,0.9107717722805828,0.9107717722805828,0.9107717722805828,39.48910030000843,25.776175130553806,38.79551542985326,842,66,558,66,624,908,0->1;1->0,
resnet50,svm,ok,1532,0.9265536723163842,0.9030837004405287,0.9146681539319577,0.9001305483028721,0.8952706537779758,0.899458516886931,0.8971452492712503,39.880580300232396,26.031710378741774,38.41468675898562,820,65,559,88,624,908,0->1;1->0,
convnext_tiny,cnn,ok,1532,0.9988814317673378,0.9834801762114538,0.9911209766925638,0.9895561357702349,0.987685229990252,0.9909388060544448,0.989221344130751,37.08986280008685,24.21009321154494,41.30508673643335,893,1,623,15,624,908,0->1;1->0,
convnext_tiny,svm,ok,1532,0.9977997799779978,0.998898678414097,0.9983489268024216,0.9980417754569191,0.9980973217707003,0.9978467751044844,0.9979715764725821,36.58717380010057,23.881967232441625,41.872597440029345,907,2,622,1,624,908,0->1;1->0,
yolov8,classify,ok,1532,0.9556592765460911,0.9019823788546255,0.9280453257790369,0.9171018276762402,0.9119037123471196,0.9205424714785948,0.9151389061535677,2.2990809999173507,1.500705613523075,666.3532081101421,819,38,586,89,624,908,0->1;1->0,
